index,Sector,Indicator,Unit,Country_code,Country,Year,Variable,Value
5957,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),MX,Mexico,2012,historic,1.278892496
5958,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),MX,Mexico,2013,historic,1.280065651
5959,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),MX,Mexico,2014,historic,1.24626173
5960,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,1990,historic,1.550477291
5961,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,1991,historic,1.514025669
5962,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,1992,historic,1.498072897
5963,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,1993,historic,1.554650175
5964,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,1994,historic,1.471426406
5965,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,1995,historic,1.547066513
5966,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,1996,historic,1.506074378
5967,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,1997,historic,1.461393745
5968,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,1998,historic,1.466054169
5969,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,1999,historic,1.431626945
5970,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,2000,historic,1.370963513
5971,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,2001,historic,1.317172433
5972,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,2002,historic,1.281895401
5973,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,2003,historic,1.251527632
5974,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,2004,historic,1.214344251
5975,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,2005,historic,1.185410179
5976,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,2006,historic,1.183110843
5977,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,2007,historic,1.175835106
5978,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,2008,historic,1.146133966
5979,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,2009,historic,1.14718612
5980,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,2010,historic,1.139358062
5981,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,2011,historic,1.119447549
5982,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,2012,historic,1.096344262
5983,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,2013,historic,1.089654499
5984,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NP,Nepal,2014,historic,1.046882469
5985,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,1990,historic,3.214787435
5986,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,1991,historic,3.229807737
5987,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,1992,historic,3.651148369
5988,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,1993,historic,3.140381968
5989,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,1994,historic,3.225389174
5990,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,1995,historic,3.066288086
5991,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,1996,historic,2.847834807
5992,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,1997,historic,2.907095909
5993,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,1998,historic,2.975564864
5994,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,1999,historic,2.867570655
5995,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,2000,historic,2.863536629
5996,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,2001,historic,2.962875301
5997,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,2002,historic,3.004268365
5998,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,2003,historic,2.748892831
5999,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,2004,historic,2.840009095
6000,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,2005,historic,2.730364561
6001,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,2006,historic,2.713260524
6002,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,2007,historic,3.110708448
6003,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,2008,historic,2.750548626
6004,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,2009,historic,2.752982476
6005,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,2010,historic,2.992329372
6006,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,2011,historic,2.722528847
6007,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,2012,historic,2.66281281
6008,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,2013,historic,2.700897057
6009,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NZ,New Zealand,2014,historic,2.561603753
6010,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,1990,historic,1.895446469
6011,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,1991,historic,1.694868385
6012,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,1992,historic,1.777509555
6013,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,1993,historic,1.544713753
6014,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,1994,historic,1.503056331
6015,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,1995,historic,1.403948522
6016,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,1996,historic,1.437728612
6017,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,1997,historic,1.440462623
6018,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,1998,historic,1.412705121
6019,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,1999,historic,1.417781037
6020,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,2000,historic,1.410922213
6021,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,2001,historic,1.42954886
6022,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,2002,historic,1.30954662
6023,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,2003,historic,1.355931496
6024,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,2004,historic,1.20969449
6025,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,2005,historic,1.18511902
6026,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,2006,historic,1.120655089
6027,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,2007,historic,1.044566679
6028,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,2008,historic,0.99884422
6029,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,2009,historic,0.981539027
6030,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,2010,historic,0.89368088
6031,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,2011,historic,0.855859267
6032,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,2012,historic,0.81907547
6033,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,2013,historic,0.862674818
6034,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),NO,Norway,2014,historic,0.821332849
6035,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,1990,historic,1.794050797
6036,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,1991,historic,1.716407458
6037,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,1992,historic,1.81189433
6038,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,1993,historic,1.666524441
6039,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,1994,historic,1.519397169
6040,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,1995,historic,1.540282311
6041,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,1996,historic,1.487741275
6042,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,1997,historic,1.448545605
6043,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,1998,historic,1.504706026
6044,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,1999,historic,1.416225013
6045,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,2000,historic,1.337741802
6046,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,2001,historic,1.368479568
6047,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,2002,historic,1.330616443
6048,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,2003,historic,1.344510912
6049,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,2004,historic,1.307603224
6050,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,2005,historic,1.313729364
6051,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,2006,historic,1.215955011
6052,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,2007,historic,1.203080631
6053,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,2008,historic,1.126224922
6054,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,2009,historic,1.161378936
6055,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,2010,historic,1.14468886
6056,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,2011,historic,1.074839483
6057,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,2012,historic,1.054734304
6058,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,2013,historic,1.020445245
6059,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PE,Peru,2014,historic,1.031655842
6060,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,1990,historic,0.93939365
6061,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,1991,historic,0.9272723
6062,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,1992,historic,0.900130642
6063,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,1993,historic,0.903915955
6064,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,1994,historic,0.946648798
6065,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,1995,historic,0.967589666
6066,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,1996,historic,0.986753527
6067,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,1997,historic,0.964222342
6068,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,1998,historic,0.902386277
6069,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,1999,historic,0.960782649
6070,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,2000,historic,0.940555604
6071,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,2001,historic,0.919093157
6072,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,2002,historic,0.886285738
6073,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,2003,historic,0.862181799
6074,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,2004,historic,0.853367385
6075,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,2005,historic,0.818437857
6076,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,2006,historic,0.790003092
6077,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,2007,historic,0.775344836
6078,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,2008,historic,0.759684543
6079,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,2009,historic,0.777676427
6080,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,2010,historic,0.772264831
6081,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,2011,historic,0.75595664
6082,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,2012,historic,0.738527773
6083,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,2013,historic,0.722172739
6084,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),PH,Philippines,2014,historic,0.744793139
6085,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,1990,historic,0.238337998
6086,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,1991,historic,0.242402784
6087,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,1992,historic,0.237249406
6088,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,1993,historic,0.222482196
6089,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,1994,historic,0.218312974
6090,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,1995,historic,0.200474417
6091,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,1996,historic,0.207141967
6092,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,1997,historic,0.21006588
6093,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,1998,historic,0.210168778
6094,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,1999,historic,0.200452267
6095,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,2000,historic,0.202266269
6096,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,2001,historic,0.20558864
6097,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,2002,historic,0.175415976
6098,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,2003,historic,0.21189851
6099,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,2004,historic,0.209802762
6100,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,2005,historic,0.200217512
6101,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,2006,historic,0.202510502
6102,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,2007,historic,0.205993171
6103,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,2008,historic,0.174187391
6104,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,2009,historic,0.148562605
6105,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,2010,historic,0.156278195
6106,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,2011,historic,0.182433467
6107,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,2012,historic,0.214690799
6108,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,2013,historic,0.197447939
6109,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),SA,Saudi Arabia,2014,historic,0.189869587
6110,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,1990,historic,2.680619191
6111,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,1991,historic,2.577272655
6112,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,1992,historic,3.473304415
6113,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,1993,historic,2.785526401
6114,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,1994,historic,2.524375687
6115,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,1995,historic,3.127028964
6116,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,1996,historic,2.61739213
6117,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,1997,historic,2.628824955
6118,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,1998,historic,2.833128874
6119,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,1999,historic,2.64587618
6120,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,2000,historic,2.529305528
6121,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,2001,historic,2.597795571
6122,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,2002,historic,2.51056894
6123,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,2003,historic,2.343771018
6124,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,2004,historic,2.282744295
6125,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,2005,historic,2.316934559
6126,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,2006,historic,2.350844265
6127,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,2007,historic,2.329302817
6128,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,2008,historic,2.004070707
6129,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,2009,historic,2.054630323
6130,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,2010,historic,2.053739647
6131,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,2011,historic,2.007371484
6132,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,2012,historic,1.964226733
6133,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,2013,historic,1.88488681
6134,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),ZA,South Africa,2014,historic,1.732256106
6135,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,1990,historic,2.069513632
6136,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,1991,historic,2.136090762
6137,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,1992,historic,2.032882187
6138,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,1993,historic,2.086084845
6139,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,1994,historic,2.186483046
6140,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,1995,historic,2.121774619
6141,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,1996,historic,2.102373636
6142,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,1997,historic,2.088957527
6143,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,1998,historic,1.980932833
6144,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,1999,historic,1.984564056
6145,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,2000,historic,1.851203106
6146,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,2001,historic,2.023146818
6147,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,2002,historic,2.008810893
6148,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,2003,historic,2.215890026
6149,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,2004,historic,1.952260321
6150,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,2005,historic,2.04393985
6151,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,2006,historic,2.091644773
6152,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,2007,historic,2.044812889
6153,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,2008,historic,2.044440211
6154,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,2009,historic,1.976622644
6155,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,2010,historic,2.05015177
6156,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,2011,historic,1.887294973
6157,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,2012,historic,1.949371084
6158,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,2013,historic,2.044933845
6159,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),CH,Switzerland,2014,historic,1.923165676
6160,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),TR,Turkey,1990,historic,0.543562262
6161,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),TR,Turkey,1991,historic,0.560732716
6162,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),TR,Turkey,1992,historic,0.54057267
6163,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),TR,Turkey,1993,historic,0.555839364
6164,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),TR,Turkey,1994,historic,0.527304426
6165,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),TR,Turkey,1995,historic,0.509060181
6166,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),TR,Turkey,1996,historic,0.497046598
6167,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),TR,Turkey,1997,historic,0.485400658
6168,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),TR,Turkey,1998,historic,0.464800882
6169,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),TR,Turkey,1999,historic,0.49396629
6170,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),TR,Turkey,2000,historic,0.444799782
6171,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),TR,Turkey,2001,historic,0.457614199
6172,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),TR,Turkey,2002,historic,0.401190153
6173,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),TR,Turkey,2003,historic,0.441647408
6174,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),TR,Turkey,2004,historic,0.43596555
6175,Agriculture,Agriculture emissions intensity (total),tCO2e / thsd. USD2012 (PPP),TR,Turkey,2005,historic,0.414523648
